PROBLEMSIZE, ITERATIONS, PROCESSES, TIME,JOB
200,1000,8,1.188778,LINEAR
200,1000,8,0.523589,MPI
200,1000,8,44.543157,MPI+MP
500,1000,8,7.604557,LINEAR
500,1000,8,2.194001,MPI
500,1000,8,43.022735,MPI+MP
1000,1000,8,34.909108,LINEAR
1000,1000,8,11.782269,MPI
1000,1000,8,51.345751,MPI+MP
2000,1000,8,181.749316,LINEAR
2000,1000,8,70.684891,MPI
2000,1000,8,166.757119,MPI+MP
1000,1,8,0.050323,LINEAR
1000,1,8,0.053803,MPI
1000,1,8,0.279591,MPI+MP
1000,10,8,0.514487,LINEAR
1000,10,8,0.264206,MPI
1000,10,8,0.763131,MPI+MP
1000,100,8,4.846643,LINEAR
1000,100,8,2.151003,MPI
1000,100,8,5.349899,MPI+MP
1000,1000,8,34.992573,LINEAR
1000,1000,8,11.823926,MPI
1000,1000,8,49.143072,MPI+MP
1000,2000,8,64.727815,LINEAR
1000,2000,8,19.893408,MPI
1000,2000,8,109.469704,MPI+MP
1000,1000,2,34.526826,LINEAR
1000,1000,2,34.893185,MPI
1000,1000,2,92.636958,MPI+MP
1000,1000,4,35.256092,LINEAR
1000,1000,4,19.922268,MPI
1000,1000,4,41.578998,MPI+MP
1000,1000,8,34.522013,LINEAR
1000,1000,8,11.826455,MPI
1000,1000,8,54.022057,MPI+MP
